Model,Config,R2_P1,RMSE_P1,MAE_P1,R2_P2,RMSE_P2,MAE_P2,Delta_R2,Delta_RMSE
CNN,A,0.300651213752181,0.1932509366973929,0.1459030709862709,0.5339305388876499,0.15776113365737648,0.12041187718510624,0.23327932513546884,0.03548980304001642
CNN,C,0.6875596196858015,0.1291689929865465,0.098418275590986,0.7745332171788841,0.10972762491474243,0.08023803645372392,0.08697359749308264,0.019441368071804063
MLP,A,-0.8495300465718902,0.3142717836793267,0.2457337362580001,0.37394616601047737,0.18284392467039887,0.13830525417625902,1.2234762125823675,0.1314278590089278
MLP,B,0.567821774402973,0.1519169161914065,0.1329704053401947,0.8605030444387558,0.0863091937392883,0.06369878664612769,0.2926812700357828,0.06560772245211818
MLP,C,-1.1305103725786425,0.3373001399437481,0.2663780594393611,0.36934571836331853,0.1835144934158619,0.15253510664403439,1.499856090941961,0.15378564652788618
RF,A,0.0371827975513237,0.2267496448243343,0.2012418039876789,,,,,
RF,B,0.3810455118391999,0.1818042590872801,0.1328036628367547,,,,,
RF,C,0.238927010008539,0.2015987567881657,0.1758941043123544,,,,,
