Model,Config,R2,RMSE,MAE
CNN,A,0.5339305388876499,0.15776113365737648,0.12041187718510624
CNN,C,0.7745332171788841,0.10972762491474243,0.08023803645372392
MLP,A,0.37394616601047737,0.18284392467039887,0.13830525417625902
MLP,B,0.8605030444387558,0.0863091937392883,0.06369878664612769
MLP,C,0.36934571836331853,0.1835144934158619,0.15253510664403439
RF,A,0.21965455220356067,0.20413531604741414,0.17656699999999978
RF,B,0.7482647016597695,0.11594359260720984,0.08225000000000005
RF,C,0.4559573978015391,0.17044770165654918,0.14214000000000002
