Model,Config,R2_point,R2_lo95,R2_hi95,R2_std,RMSE_point,RMSE_lo95,RMSE_hi95,RMSE_std,n_skipped
Ridge,B,0.9042977737092367,0.8004924641021397,0.9549044218704958,0.03942073387132696,0.07148842274209895,0.04229045521053394,0.09748853071275199,0.014289499994922952,0
Ridge,C,0.7983981755276209,0.5738268101514093,0.9098659330822471,0.10809533761170648,0.10375807934156024,0.0648516392069063,0.1351807921218189,0.017658804313781643,0
PLS,B,0.8983549049185141,0.7707200986110804,0.9594324474606211,0.05006033054534961,0.07367462061284352,0.0405041478497228,0.10514057089576291,0.017105490249541944,0
PLS,C,0.7436651050959187,0.4655292526893719,0.8837589630986357,0.15814247431055214,0.11699803298676795,0.07718976737927549,0.15140694394177598,0.01861723442764069,0
RF,B,0.7482647016597681,0.4851042603793622,0.8761170085588416,0.10838359189979398,0.11594359260721016,0.07500838510461114,0.1505537865331425,0.020291298699093012,0
RF,C,0.49683167918203774,-0.1186457516995125,0.7676941947342169,0.25717634094441705,0.16391977153473586,0.11321165810689399,0.21263759810337937,0.025527256622231643,0
MLP,B,0.8568676132081756,0.7665540278858217,0.9233099607954035,0.03909287000415767,0.08742661257918101,0.05172717515731701,0.11466968137692513,0.015110487834579578,0
MLP,C,0.8149153590142274,0.6474649894990109,0.8828529202536516,0.07520488712028978,0.09941682409572959,0.07940316637749992,0.11880882126252343,0.01075019637367062,0
